#{"t_start": 1744175098.8747785, "env_id": "None"}
r,l,t
-176.05641,50,3.61782
-169.4453,50,7.194319
-170.262554,50,10.769053
-177.489095,50,14.338881
-162.436385,50,17.865417
-161.771477,50,21.385016
-169.107038,50,24.899005
-172.39249,50,28.459757
-154.273628,50,32.037544
-166.392318,50,35.6075
-173.824796,50,39.153512
-177.701447,50,42.670848
-163.800005,50,46.209374
-172.299323,50,49.731733
-176.685605,50,53.248614
-172.723058,50,56.817619
-175.314291,50,60.389027
-161.656193,50,63.956922
-168.717253,50,67.500193
-154.671849,50,71.057893
-173.965762,50,74.607378
-160.999623,50,78.122769
-166.6653,50,81.677169
-179.781824,50,85.215891
-176.305733,50,88.77931
-172.20554,50,92.319738
-166.18088,50,95.833296
-163.789428,50,99.353426
-172.661768,50,102.875094
-170.925844,50,106.390478
-167.755465,50,109.903034
-175.943994,50,113.440641
-176.267093,50,116.99275
-156.631425,50,120.559359
-155.011768,50,124.0748
-163.157315,50,127.625288
-153.530454,50,131.187727
-157.926884,50,134.710278
-153.85081,50,138.233819
-169.741725,50,141.754567
-167.404499,50,145.273226
-166.269044,50,148.789353
-158.783557,50,152.321867
-159.867875,50,155.849245
-135.118912,50,159.363591
-144.53923,50,162.908743
-150.846611,50,166.424471
-161.781875,50,169.965878
-163.86267,50,173.542045
-161.670547,50,177.103424
-157.008882,50,180.621434
-164.284822,50,184.158447
-167.076949,50,187.731247
-341.377221,50,191.281084
-155.899039,50,194.839322
-150.53222,50,198.357793
-165.773809,50,201.899951
-166.721794,50,205.410985
-166.273529,50,208.977507
-233.75071,50,212.545234
-153.983461,50,216.11649
-171.478199,50,219.674578
-157.36396,50,223.241324
-163.363578,50,226.809364
-158.313999,50,230.371758
-421.838255,50,233.928119
-175.918139,50,237.492983
-153.687446,50,241.048791
-153.25816,50,244.615996
-154.747199,50,248.176075
-159.902594,50,251.737446
-389.380767,50,255.246122
-156.315205,50,258.770212
-195.677494,50,262.284083
-173.936232,50,265.792872
-165.087561,50,269.307981
-165.247537,50,272.839047
-165.436837,50,276.353093
-163.858523,50,279.921489
-173.422122,50,283.461899
-172.769719,50,286.988012
-178.918882,50,290.518536
-164.759828,50,294.06356
-169.442199,50,297.58288
-167.987331,50,301.096817
-183.131607,50,304.631997
-156.258303,50,308.197618
-176.184643,50,311.744891
-165.641672,50,315.256297
-168.750307,50,318.777198
-165.361886,50,322.302535
-153.748933,50,325.840938
-187.392018,50,329.358911
-132.422202,50,332.883168
-150.310158,50,336.392922
-152.796353,50,339.94759
-163.373139,50,343.506519
-155.375757,50,347.038114
-159.500199,50,350.598041
-160.759927,50,354.143731
-154.990404,50,357.703262
-159.890525,50,361.254284
-144.921738,50,364.766591
-161.241532,50,368.276687
-157.703632,50,371.802873
-159.662288,50,375.36148
-165.387899,50,378.88982
-157.491587,50,382.395198
-491.874227,50,385.904811
-147.808045,50,389.439936
-147.092317,50,392.955858
-152.194142,50,396.467029
-167.893083,50,400.031738
-157.014837,50,403.596027
-166.102109,50,407.120644
-152.768076,50,410.648359
-144.397703,50,414.19438
-157.269476,50,417.74983
-164.370417,50,421.306923
-154.247015,50,424.858669
-142.827146,50,428.428217
-145.376331,50,431.968175
-153.630895,50,435.499829
-145.692784,50,439.059067
-145.348942,50,442.620583
-141.591359,50,446.182408
-139.224858,50,449.749039
-151.878261,50,453.312264
-143.511276,50,456.858789
-144.167114,50,460.424921
-141.964352,50,463.991992
-149.457781,50,467.547023
-143.184144,50,471.10146
-158.81374,50,474.662523
-241.611804,50,478.217781
-146.048676,50,481.785364
-143.875689,50,485.3435
-159.1541,50,488.870942
-138.606893,50,492.43301
-149.516306,50,496.001727
-138.475763,50,499.560477
-139.845203,50,503.121555
-147.666033,50,506.673647
-138.568916,50,510.208525
-184.272146,50,513.750498
-147.02902,50,517.260265
-119.9832,50,520.791332
-130.259421,50,524.340056
-129.946244,50,527.887496
-137.621303,50,531.44697
-141.878717,50,535.010571
-143.124251,50,538.543857
-181.102201,50,542.089762
-130.141093,50,545.606281
-111.902926,50,549.138594
-120.046523,50,552.672935
-135.567872,50,556.190548
-126.654665,50,559.714105
-139.317585,50,563.263939
-145.360601,50,566.792703
-151.05823,50,570.313838
-141.46919,50,573.816422
-153.364056,50,577.327276
-161.917672,50,580.835405
-150.505133,50,584.339741
-151.516942,50,587.852886
-151.740097,50,591.383635
-176.119782,50,594.938472
-143.215497,50,598.481733
-152.260525,50,602.013011
-157.97369,50,605.573124
-159.399151,50,609.127131
-151.400251,50,612.657497
-145.083083,50,616.168591
-155.69604,50,619.682544
-153.44593,50,623.221499
-159.65655,50,626.763735
-150.232703,50,630.283499
-144.219244,50,633.811848
-132.350892,50,637.370049
-134.603803,50,640.894327
-160.446077,50,644.447047
-147.412388,50,647.98769
-151.363137,50,651.527442
-166.622969,50,655.080568
-165.382151,50,658.617924
-162.193588,50,662.133701
-140.418257,50,665.643998
-155.822893,50,669.148921
-164.433616,50,672.680763
-160.560616,50,676.24022
-154.815761,50,679.780985
-147.400383,50,683.297352
-156.722218,50,686.813751
-144.808022,50,690.31533
-144.321645,50,693.860743
-146.024898,50,697.419309
-156.743371,50,700.969146
-156.618865,50,704.467925
-162.862548,50,708.00953
-155.671179,50,711.785814
-159.751554,50,715.311726
-142.057589,50,718.840615
-151.068557,50,722.369465
-149.994509,50,725.894865
-148.553785,50,729.45219
-145.854179,50,732.984528
-149.911811,50,736.509254
-153.956967,50,740.02007
-148.460808,50,743.565844
-140.138756,50,747.094432
-157.806452,50,750.64597
-163.953595,50,754.208639
-153.928606,50,757.754441
-159.67284,50,761.278739
-171.263204,50,764.794146
-238.880848,50,768.339689
-217.219756,50,771.898908
-168.809614,50,775.453362
-162.189717,50,778.977659
-170.888482,50,782.755674
-163.908707,50,786.258496
-156.281663,50,789.77224
-153.97374,50,793.303656
-173.628222,50,796.867704
-159.187444,50,800.37836
-177.259279,50,803.918225
-162.952682,50,807.429646
-165.761825,50,810.955383
-143.981588,50,814.518811
-164.225255,50,818.077463
-169.564829,50,821.598545
-169.113676,50,825.129439
-159.742623,50,828.6797
-188.320811,50,832.19326
-151.014678,50,835.709096
-136.114205,50,839.2242
-157.680792,50,842.742501
-140.413601,50,846.27692
-142.440718,50,849.795751
-137.72228,50,853.349153
-158.219176,50,856.906952
-146.113749,50,860.434475
-157.843231,50,863.978953
-154.78272,50,867.541525
-166.296949,50,871.091504
-128.964177,50,874.613338
-140.204252,50,878.138778
-130.831308,50,881.678235
-146.793112,50,885.238552
-149.263077,50,888.786046
-146.13645,50,892.298229
-134.443646,50,895.86536
-147.044316,50,899.410128
-139.48426,50,902.978466
-132.70862,50,906.52405
-154.941193,50,910.081223
-155.70376,50,913.619608
-148.337027,50,917.136027
-168.45567,50,920.681547
-151.626342,50,924.215068
-156.108767,50,927.768002
-168.249691,50,931.30426
-162.272108,50,934.807822
-144.943946,50,938.325558
-148.046869,50,941.87386
-137.704233,50,945.417779
-132.622222,50,948.964042
-143.625859,50,952.51185
-144.298141,50,956.06497
-145.68228,50,959.609848
-144.358983,50,963.130049
-145.854447,50,966.662854
-130.265033,50,970.234485
-120.300198,50,973.806271
-158.511802,50,977.366213
-144.395609,50,980.937621
-157.155366,50,984.503616
-227.787644,50,988.038508
-139.480223,50,991.602898
-146.082956,50,995.172261
-155.371992,50,998.727009
-653.73262,50,1002.276981
-269.834478,50,1005.790144
-143.040618,50,1009.306281
-159.22034,50,1012.838054
-153.016772,50,1016.377496
-147.723964,50,1019.926142
-151.62866,50,1023.483982
-131.159692,50,1027.040683
-151.36461,50,1030.575915
-213.209285,50,1034.131923
-133.857632,50,1037.695588
-158.160711,50,1041.217623
-147.998656,50,1044.732701
-143.978749,50,1048.277073
-161.732472,50,1051.795433
-152.888201,50,1055.351553
-163.262684,50,1058.904495
-158.398828,50,1062.466193
-156.405546,50,1066.008928
-151.276662,50,1069.57086
-156.916275,50,1073.12857
-154.066429,50,1076.689749
-150.495732,50,1080.254202
-118.125525,50,1083.812713
-122.442723,50,1087.379346
