timesteps,mean_reward,best_reward
1000,-1278.69821605,-1278.69821605
2000,-1105.6557144,-1105.6557144
3000,-858.0774518253968,-858.0774518253968
4000,-731.8547719397591,-731.8547719397591
5000,-621.8288029599998,-621.8288029599998
6000,-406.3615032299999,-406.3615032299999
7000,-283.50122323,-283.50122323
8000,-231.06514614000002,-231.06514614000002
9000,-215.10594536999997,-215.10594536999997
10000,-205.05259366,-205.05259366
11000,-199.48994037999998,-199.48994037999998
12000,-198.57264765999997,-198.57264765999997
13000,-196.96118352999994,-196.96118352999994
14000,-182.76625085999996,-182.76625085999996
15000,-162.93700965000005,-162.93700965000005
16000,-162.93549653999997,-162.93549653999997
17000,-165.25615901,-162.93549653999997
18000,-169.69027326,-162.93549653999997
19000,-172.45562547999998,-162.93549653999997
20000,-172.12180659,-162.93549653999997
21000,-169.44907752000003,-162.93549653999997
22000,-178.94307319999996,-162.93549653999997
23000,-188.88172540000002,-162.93549653999997
24000,-206.47022028,-162.93549653999997
25000,-217.44684207999998,-162.93549653999997
26000,-206.53491344000003,-162.93549653999997
27000,-204.38355989000004,-162.93549653999997
28000,-185.18276116,-162.93549653999997
29000,-176.29599457999993,-162.93549653999997
30000,-165.96386192999998,-162.93549653999997
31000,-164.46789827,-162.93549653999997
32000,-156.79791042999997,-156.79791042999997
33000,-161.14921880000003,-156.79791042999997
34000,-169.32362774,-156.79791042999997
35000,-191.22437116999993,-156.79791042999997
36000,-187.79250067,-156.79791042999997
37000,-164.99897104,-156.79791042999997
38000,-173.62546499,-156.79791042999997
39000,-173.01155563999998,-156.79791042999997
40000,-174.44176417000003,-156.79791042999997
41000,-186.7387342,-156.79791042999997
42000,-226.02155662,-156.79791042999997
43000,-225.96028708999998,-156.79791042999997
44000,-221.22587861999997,-156.79791042999997
45000,-217.23064084000006,-156.79791042999997
46000,-216.80730563,-156.79791042999997
47000,-212.98398768000004,-156.79791042999997
48000,-211.29836963000002,-156.79791042999997
49000,-214.27170841,-156.79791042999997
50000,-209.15228372,-156.79791042999997
31000,-215.86347089999998,-215.86347089999998
32000,-212.16500451219514,-212.16500451219514
33000,-175.30053454545455,-175.30053454545455
34000,-189.98304685057474,-175.30053454545455
35000,-193.74961277000003,-175.30053454545455
36000,-189.51097209,-175.30053454545455
37000,-203.59600718000004,-175.30053454545455
38000,-214.58967542000002,-175.30053454545455
39000,-210.26535963000003,-175.30053454545455
40000,-197.79089016999995,-175.30053454545455
41000,-204.95851228000004,-175.30053454545455
42000,-216.62182493,-175.30053454545455
43000,-201.62188036999999,-175.30053454545455
44000,-224.33701156999996,-175.30053454545455
45000,-214.0462572,-175.30053454545455
46000,-213.54175919999994,-175.30053454545455
47000,-196.76226254000005,-175.30053454545455
48000,-184.06362995,-175.30053454545455
49000,-183.34871101000002,-175.30053454545455
50000,-190.37831588000006,-175.30053454545455
51000,-201.83309228,-175.30053454545455
52000,-214.84784403999998,-175.30053454545455
53000,-215.01493216999998,-175.30053454545455
54000,-202.91953735999996,-175.30053454545455
55000,-198.70783662000002,-175.30053454545455
56000,-196.57181165000003,-175.30053454545455
57000,-163.56249028000002,-163.56249028000002
58000,-163.902034,-163.56249028000002
59000,-185.98152446999995,-163.56249028000002
60000,-216.04564533,-163.56249028000002
61000,-196.95808670999998,-163.56249028000002
62000,-242.82072866,-163.56249028000002
63000,-256.36697559,-163.56249028000002
64000,-242.0454645,-163.56249028000002
65000,-230.76831170000003,-163.56249028000002
66000,-262.39008993000004,-163.56249028000002
67000,-246.95415214000005,-163.56249028000002
68000,-245.55314425999993,-163.56249028000002
69000,-243.2820541199999,-163.56249028000002
70000,-219.87902544,-163.56249028000002
71000,-212.42776607000005,-163.56249028000002
72000,-208.29922904,-163.56249028000002
61000,-170.15302830000002,-170.15302830000002
62000,-112.080113925,-112.080113925
63000,-128.05356427419355,-112.080113925
64000,-141.6288088554217,-112.080113925
65000,-149.05767525,-112.080113925
66000,-157.91284191,-112.080113925
67000,-161.85240056000004,-112.080113925
68000,-167.5402807,-112.080113925
69000,-182.44984415,-112.080113925
70000,-188.29956676,-112.080113925
71000,-202.32285547,-112.080113925
72000,-190.54241208000002,-112.080113925
73000,-184.37153126,-112.080113925
74000,-147.52063756,-112.080113925
75000,-147.52606837,-112.080113925
76000,-106.11006730999999,-106.11006730999999
77000,-113.29739249000001,-106.11006730999999
78000,-141.16450201,-106.11006730999999
79000,-149.01280368999997,-106.11006730999999
80000,-164.15811049,-106.11006730999999
81000,-156.73216442999998,-106.11006730999999
82000,-141.06726042,-106.11006730999999
83000,-145.110245,-106.11006730999999
84000,-182.57326778000004,-106.11006730999999
85000,-185.9878236,-106.11006730999999
86000,-185.15417786999998,-106.11006730999999
87000,-207.00978504999995,-106.11006730999999
88000,-183.47274643,-106.11006730999999
89000,-158.00832766000002,-106.11006730999999
90000,-162.95591303,-106.11006730999999
1000,-287.45945314285717,-287.45945314285717
2000,-384.53178939024394,-287.45945314285717
3000,-403.4904313442623,-287.45945314285717
4000,-470.45756202469136,-287.45945314285717
5000,-484.03967237000006,-287.45945314285717
6000,-616.3691092299999,-287.45945314285717
7000,-607.25892978,-287.45945314285717
8000,-568.55613353,-287.45945314285717
1000,-651.1076907142857,-651.1076907142857
2000,-585.704837609756,-585.704837609756
3000,-567.810673377049,-567.810673377049
4000,-490.7978586419753,-490.7978586419753
5000,-430.63001485,-430.63001485
6000,-382.96997633,-382.96997633
7000,-337.11671147999994,-337.11671147999994
8000,-264.10342246,-264.10342246
9000,-247.95536649000002,-247.95536649000002
10000,-294.32463291,-247.95536649000002
11000,-240.53029433000003,-240.53029433000003
12000,-217.02200513999998,-217.02200513999998
13000,-215.11469443,-215.11469443
14000,-211.04925461000002,-211.04925461000002
15000,-155.96484138,-155.96484138
16000,-155.75166775999998,-155.75166775999998
17000,-153.67908538,-153.67908538
18000,-154.15067204000002,-153.67908538
19000,-167.07250206,-153.67908538
20000,-173.34169875999999,-153.67908538
21000,-201.70446560000005,-153.67908538
22000,-199.43916752,-153.67908538
23000,-205.61365970000003,-153.67908538
24000,-270.77287838,-153.67908538
25000,-271.53012338,-153.67908538
26000,-345.64433228,-153.67908538
27000,-423.05845478000003,-153.67908538
28000,-416.78403459000003,-153.67908538
29000,-345.9669934800001,-153.67908538
30000,-347.7731913700001,-153.67908538
31000,-245.92892226999996,-153.67908538
32000,-172.68793779,-153.67908538
33000,-175.73629265,-153.67908538
34000,-170.22928158999994,-153.67908538
35000,-166.02486981,-153.67908538
36000,-165.2527694,-153.67908538
37000,-174.4022679,-153.67908538
38000,-174.33241823999998,-153.67908538
39000,-180.14924954999998,-153.67908538
40000,-184.24517670000006,-153.67908538
41000,-185.8409523,-153.67908538
42000,-178.16006916000003,-153.67908538
43000,-179.43120880000004,-153.67908538
44000,-171.90536887000002,-153.67908538
45000,-170.305693,-153.67908538
46000,-171.36932686,-153.67908538
47000,-169.58140533000002,-153.67908538
48000,-167.86496200999997,-153.67908538
49000,-171.19880283000003,-153.67908538
50000,-176.19848595000008,-153.67908538
51000,-173.31199561904762,-153.67908538
52000,-170.0695254390244,-153.67908538
53000,-170.6835137377049,-153.67908538
54000,-175.1100198271605,-153.67908538
55000,-172.06265276,-153.67908538
56000,-172.93565812999998,-153.67908538
57000,-169.85749629000003,-153.67908538
58000,-163.35669517,-153.67908538
59000,-156.06076907,-153.67908538
60000,-154.0076905,-153.67908538
