               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099656,            0.046688,            0.052859,           0.0091116,              0.7719,             0.01953,            0.004989,            0.054449,            0.039109,             0.04812,              0.0838,              0.0018,              0.0018
                   1,            0.071292,            0.050035,            0.050355,            0.084276,             0.37335,             0.10028,            0.028442,            0.053042,            0.040996,            0.047542,            0.066627,           0.0036267,           0.0036267
                   2,             0.06058,            0.034926,             0.04823,            0.089442,             0.63786,             0.13722,            0.066991,            0.045765,            0.021112,            0.044716,            0.049378,           0.0053782,           0.0053782
                   3,            0.060855,            0.031349,            0.047329,            0.092141,             0.65288,             0.12822,            0.055873,            0.049008,            0.016613,            0.042703,            0.032054,           0.0070545,           0.0070545
                   4,            0.057542,             0.03013,            0.046656,             0.12208,             0.68388,             0.13851,            0.055546,            0.046351,            0.014411,            0.041907,            0.014656,           0.0086555,           0.0086555
                   5,            0.057294,            0.026671,            0.045933,             0.12727,             0.81113,             0.18975,             0.10232,            0.044733,            0.013414,            0.040065,             0.00901,             0.00901,             0.00901
                   6,            0.055661,            0.024574,            0.045188,             0.22423,             0.66437,             0.26901,             0.12591,            0.043387,            0.013898,            0.038878,             0.00901,             0.00901,             0.00901
                   7,            0.046862,            0.023116,             0.04346,             0.22164,             0.71934,             0.33049,             0.16838,            0.035814,            0.011018,            0.036959,            0.008812,            0.008812,            0.008812
                   8,             0.04395,            0.022213,            0.041186,             0.29267,             0.71917,             0.37839,             0.19469,            0.031077,             0.01083,            0.035858,            0.008614,            0.008614,            0.008614
                   9,            0.040739,            0.020536,            0.038764,             0.42329,             0.76558,             0.52997,             0.30803,            0.025961,            0.010014,            0.035258,            0.008416,            0.008416,            0.008416
                  10,            0.039297,            0.019626,            0.036413,             0.53305,             0.64419,             0.53579,             0.28334,            0.031901,           0.0097047,             0.03206,            0.008218,            0.008218,            0.008218
                  11,            0.038115,            0.019444,             0.03353,             0.58859,             0.74139,             0.62606,              0.2558,            0.029733,           0.0098514,            0.029857,             0.00802,             0.00802,             0.00802
                  12,            0.035809,            0.020054,            0.031998,             0.69825,             0.75733,             0.65991,             0.37402,              0.0231,           0.0089591,            0.028015,            0.007822,            0.007822,            0.007822
                  13,            0.035956,            0.019049,            0.029585,             0.68086,             0.75983,             0.75266,             0.51152,            0.020754,             0.00833,              0.0262,            0.007624,            0.007624,            0.007624
                  14,            0.033724,            0.017658,            0.027151,             0.70023,             0.73473,             0.78795,             0.44701,             0.02046,           0.0083873,             0.02428,            0.007426,            0.007426,            0.007426
                  15,            0.032468,            0.017693,            0.025075,             0.56273,             0.90752,             0.82238,              0.4964,            0.023115,           0.0086217,            0.021194,            0.007228,            0.007228,            0.007228
                  16,            0.032309,            0.017785,             0.02259,             0.63252,             0.97655,             0.78582,             0.43661,            0.022957,           0.0084141,            0.019576,             0.00703,             0.00703,             0.00703
                  17,            0.031595,            0.016626,            0.020628,             0.66616,              0.8788,             0.84225,             0.58089,            0.019621,           0.0081248,            0.016688,            0.006832,            0.006832,            0.006832
                  18,            0.030679,            0.017018,            0.018536,             0.79539,              0.9661,             0.89429,             0.58814,            0.019563,           0.0081589,            0.014161,            0.006634,            0.006634,            0.006634
                  19,            0.029128,            0.016649,            0.016271,             0.80509,             0.93696,              0.9213,             0.66122,            0.019011,           0.0080327,            0.012108,            0.006436,            0.006436,            0.006436
